,Algorithm,Num_MTAs,Runtime,Result
260,Backtracking,9,19.185781478881836,1
261,Remembering No Goods,9,15.627145767211914,1
262,Backtracking,9,0.0,0
263,Remembering No Goods,9,15.913248062133789,0
264,Backtracking,9,8.013725280761719,0
265,Remembering No Goods,9,0.0,0
266,Backtracking,9,5.27191162109375,0
267,Remembering No Goods,9,0.0,0
268,Backtracking,9,0.0,0
269,Remembering No Goods,9,16.86835289001465,0
270,Backtracking,10,15.804529190063477,0
271,Remembering No Goods,10,5.667686462402344,0
272,Backtracking,10,0.0,0
273,Remembering No Goods,10,7.325410842895508,0
274,Backtracking,10,20.7669734954834,1
275,Remembering No Goods,10,0.0,1
276,Backtracking,10,15.623331069946289,0
277,Remembering No Goods,10,0.0,0
278,Backtracking,10,0.0,1
279,Remembering No Goods,10,5.055427551269531,1
280,Backtracking,10,1.0123252868652344,0
281,Remembering No Goods,10,0.0,0
282,Backtracking,10,0.0,0
283,Remembering No Goods,10,0.34427642822265625,0
284,Backtracking,10,5.038022994995117,0
285,Remembering No Goods,10,0.0,0
286,Backtracking,10,0.0,0
287,Remembering No Goods,10,15.507936477661133,0
288,Backtracking,10,0.0,0
289,Remembering No Goods,10,0.0,0
290,Backtracking,10,15.64788818359375,0
291,Remembering No Goods,10,15.626192092895508,0
292,Backtracking,10,19.09661293029785,1
293,Remembering No Goods,10,17.536401748657227,1
294,Backtracking,10,0.0,0
295,Remembering No Goods,10,0.0,0
296,Backtracking,10,0.0,0
297,Remembering No Goods,10,15.810966491699219,0
298,Backtracking,10,0.0,1
299,Remembering No Goods,10,0.0,1
300,Backtracking,11,0.0,0
301,Remembering No Goods,11,7.347583770751953,0
302,Backtracking,11,16.11948013305664,0
303,Remembering No Goods,11,6.794452667236328,0
304,Backtracking,11,0.0,0
305,Remembering No Goods,11,15.67983627319336,0
306,Backtracking,11,15.643835067749023,0
307,Remembering No Goods,11,0.0,0
308,Backtracking,11,15.609264373779297,0
309,Remembering No Goods,11,7.999420166015625,0
310,Backtracking,11,7.027149200439453,0
311,Remembering No Goods,11,0.0,0
312,Backtracking,11,0.0,0
313,Remembering No Goods,11,8.335113525390625,0
314,Backtracking,11,0.0,0
315,Remembering No Goods,11,0.0,0
316,Backtracking,11,17.260313034057617,0
317,Remembering No Goods,11,15.787124633789062,0
318,Backtracking,11,7.999420166015625,1
319,Remembering No Goods,11,15.635967254638672,1
320,Backtracking,11,0.0,0
321,Remembering No Goods,11,1.6541481018066406,0
322,Backtracking,11,0.0,0
323,Remembering No Goods,11,12.555837631225586,0
324,Backtracking,11,0.0,0
325,Remembering No Goods,11,0.0,0
326,Backtracking,11,15.66004753112793,0
327,Remembering No Goods,11,16.002893447875977,0
328,Backtracking,11,0.0,0
329,Remembering No Goods,11,0.0,0
330,Backtracking,12,0.0,0
331,Remembering No Goods,12,0.0,0
332,Backtracking,12,0.0,0
333,Remembering No Goods,12,0.0,0
334,Backtracking,12,15.697240829467773,0
335,Remembering No Goods,12,13.555765151977539,0
336,Backtracking,12,14.182329177856445,1
337,Remembering No Goods,12,15.850067138671875,1
338,Backtracking,12,0.0,1
339,Remembering No Goods,12,15.614032745361328,1
340,Backtracking,12,16.727447509765625,0
341,Remembering No Goods,12,8.011817932128906,0
342,Backtracking,12,0.0,0
343,Remembering No Goods,12,0.0,0
344,Backtracking,12,0.0,0
345,Remembering No Goods,12,8.18943977355957,0
346,Backtracking,12,0.0,0
347,Remembering No Goods,12,0.0,0
348,Backtracking,12,0.0,0
349,Remembering No Goods,12,0.0,0
350,Backtracking,12,15.772581100463867,0
351,Remembering No Goods,12,15.622854232788086,0
352,Backtracking,12,8.023500442504883,0
353,Remembering No Goods,12,16.674280166625977,0
354,Backtracking,12,0.0,0
355,Remembering No Goods,12,15.625953674316406,0
356,Backtracking,12,15.635251998901367,1
357,Remembering No Goods,12,70.53160667419434,1
358,Backtracking,12,15.626192092895508,1
359,Remembering No Goods,12,0.0,1
360,Backtracking,13,8.001565933227539,0
361,Remembering No Goods,13,15.655517578125,0
362,Backtracking,13,1.1820793151855469,0
363,Remembering No Goods,13,0.0,0
364,Backtracking,13,7.820367813110352,0
365,Remembering No Goods,13,7.122278213500977,0
366,Backtracking,13,13.682842254638672,1
367,Remembering No Goods,13,16.727685928344727,1
368,Backtracking,13,9.170770645141602,1
369,Remembering No Goods,13,15.781164169311523,1
370,Backtracking,13,0.0,0
371,Remembering No Goods,13,15.627145767211914,0
372,Backtracking,13,0.0,1
373,Remembering No Goods,13,14.589309692382812,1
374,Backtracking,13,0.0,0
375,Remembering No Goods,13,15.645027160644531,0
376,Backtracking,13,4.205226898193359,1
377,Remembering No Goods,13,15.76685905456543,1
378,Backtracking,13,0.0,0
379,Remembering No Goods,13,16.536712646484375,0
380,Backtracking,13,0.0,0
381,Remembering No Goods,13,15.641927719116211,0
382,Backtracking,13,8.087635040283203,0
383,Remembering No Goods,13,8.142709732055664,0
384,Backtracking,13,0.0,0
385,Remembering No Goods,13,15.617847442626953,0
386,Backtracking,13,6.40416145324707,0
387,Remembering No Goods,13,9.084701538085938,0
388,Backtracking,13,23.120403289794922,0
389,Remembering No Goods,13,16.56794548034668,0
390,Backtracking,14,6.024599075317383,1
391,Remembering No Goods,14,8.128643035888672,1
392,Backtracking,14,15.777826309204102,0
393,Remembering No Goods,14,16.719341278076172,0
394,Backtracking,14,3.5653114318847656,0
395,Remembering No Goods,14,8.57400894165039,0
396,Backtracking,14,0.0,0
397,Remembering No Goods,14,20.711898803710938,0
398,Backtracking,14,0.0,0
399,Remembering No Goods,14,15.729188919067383,0
400,Backtracking,14,13.089656829833984,0
401,Remembering No Goods,14,8.002519607543945,0
402,Backtracking,14,0.0,0
403,Remembering No Goods,14,4.559755325317383,0
404,Backtracking,14,15.623092651367188,0
405,Remembering No Goods,14,16.49165153503418,0
406,Backtracking,14,15.732049942016602,0
407,Remembering No Goods,14,0.0,0
408,Backtracking,14,21.026611328125,0
409,Remembering No Goods,14,24.91927146911621,0
410,Backtracking,14,0.0,0
411,Remembering No Goods,14,0.0,0
412,Backtracking,14,12.044191360473633,0
413,Remembering No Goods,14,15.97285270690918,0
414,Backtracking,14,0.0,0
415,Remembering No Goods,14,0.0,0
416,Backtracking,14,8.116483688354492,0
417,Remembering No Goods,14,15.506744384765625,0
418,Backtracking,14,0.0,0
419,Remembering No Goods,14,15.7012939453125,0
420,Backtracking,15,15.651702880859375,0
421,Remembering No Goods,15,10.342836380004883,0
422,Backtracking,15,1.3935565948486328,0
423,Remembering No Goods,15,18.571853637695312,0
424,Backtracking,15,25.371551513671875,1
425,Remembering No Goods,15,16.210079193115234,1
426,Backtracking,15,0.0,0
427,Remembering No Goods,15,15.693426132202148,0
428,Backtracking,15,16.92962646484375,0
429,Remembering No Goods,15,9.901762008666992,0
430,Backtracking,15,19.989728927612305,0
431,Remembering No Goods,15,22.41969108581543,0
432,Backtracking,15,15.969276428222656,0
433,Remembering No Goods,15,16.179561614990234,0
434,Backtracking,15,10.265350341796875,0
435,Remembering No Goods,15,16.388416290283203,0
436,Backtracking,15,24.31464195251465,1
437,Remembering No Goods,15,15.480995178222656,1
438,Backtracking,15,0.0,0
439,Remembering No Goods,15,22.14217185974121,0
440,Backtracking,15,83.1911563873291,0
441,Remembering No Goods,15,13.263463973999023,0
442,Backtracking,15,12.628793716430664,0
443,Remembering No Goods,15,16.65520668029785,0
444,Backtracking,15,18.921613693237305,0
445,Remembering No Goods,15,15.619754791259766,0
446,Backtracking,15,5.522251129150391,0
447,Remembering No Goods,15,7.833003997802734,0
448,Backtracking,15,0.0,0
449,Remembering No Goods,15,5.530357360839844,0
